Program,site_id,Site Name,Site ID OPSEL,Opsel,Penyedia MSS,Paket Penyedia MSS,Provinsi,Kabupaten,Kecamatan,Desa,latitude,longitude,radius_km,Transmisi,BW,K2-K3 Kategori,Availability,Accessibility,Retainability,Traffic Total,User,Problem Availability,Sub Problem Category
BTS 4G,PAP6241,SIMINBUK,ZZV161,TELKOMSEL,KSO SCI NUSA PAPUA,15,PAPUA PEGUNUNGAN,PEGUNUNGAN BINTANG,SERAMBAKON,SIMINBUK,-4.897472,140.588462,3,VSAT,4,K1 : Tidak Overlap,0,0,0,0,,BTS,BBU Fault
BTS 4G,PAP0318,ODIYAI,ZZR486,TELKOMSEL,KSO BKU LANGGENG,13,PAPUA TENGAH,PANIAI,BIBIDA,ODIYAI,-3.949722,136.466944,3,VSAT,2,K1 : Tidak Overlap,0,0,0,0,,Vandalisme,Red Zone
BTS 4G,PAP0084,TATUI,ZZR080,TELKOMSEL,KSO BKU LANGGENG,13,PAPUA,KEPULAUAN YAPEN,KOSIWO,TATUI,-1.851388,136.129166,3,VSAT,2,K1 : Tidak Overlap,0,0,0,0,,Vandalisme,Vandalisme
BTS 4G,PAP3511,GUNA,ZZT481,TELKOMSEL,KSO SCI NUSA PAPUA,14,PAPUA TENGAH,PUNCAK JAYA,TAGANOMBAK,GUNA,-3.701417,138.227885,3,VSAT,4,K1 : Tidak Overlap,0,0,0,0,,POWER,Battery Faulty & PV Panel Broken
BTS 4G,PAP6227,IMBOT,ZZV159,TELKOMSEL,KSO SCI NUSA PAPUA,15,PAPUA PEGUNUNGAN,PEGUNUNGAN BINTANG,OKBAPE,IMBOT,-4.822834,140.356811,3,VSAT,2,No overlapping Issue,0,0,0,0,,VSAT,Modem Fault
BTS 4G,PAP3450,KOBARAK,ZZT450,TELKOMSEL,KSO SCI NUSA PAPUA,14,PAPUA TENGAH,PUNCAK JAYA,YAMONERI,KOBARAK,-3.736314,138.177892,3,VSAT,2,K1 : Tidak Overlap,0,0,0,0,,POWER,Battery Faulty & PV Panel Broken
BTS 4G,PAP0321,KOLAITAGA,ZZR240,TELKOMSEL,KSO BKU LANGGENG,13,PAPUA TENGAH,PANIAI,BIBIDA,KOLAITAGA,-3.944166,136.491111,3,VSAT,2,No overlapping Issue,0,0,0,0,,POWER,Battery Faulty
BTS 4G,PAP6203,CALAB,ZZV470,TELKOMSEL,KSO SCI NUSA PAPUA,15,PAPUA PEGUNUNGAN,PEGUNUNGAN BINTANG,BIME,CALAB,-4.479809,140.206872,3,VSAT,4,No overlapping Issue,0,0,0,0,,POWER,MCB Trip
BTS 4G,PAP0945,DIITA,ZZR347,TELKOMSEL,KSO BKU LANGGENG,13,PAPUA TENGAH,DEIYAI,BOUWOBADO,DIITA,-4.095,136.428055,3,VSAT,2,No overlapping Issue,0,0,0,0,,Vandalisme,Red Zone
BTS 4G,PAP0947,DEMAGO,ZZR348,TELKOMSEL,KSO BKU LANGGENG,13,PAPUA TENGAH,DEIYAI,TIGI BARAT,DEMAGO,-4.065277,136.106111,3,VSAT,2,No overlapping Issue,0,0,0,0,,Vandalisme,Vandalisme
BTS 4G,PAP7197,WOUTU KOLOF,ZZV315,TELKOMSEL,KSO SCI NUSA PAPUA,15,PAPUA SELATAN,ASMAT,KOLF BRAZA,WOUTU KOLOF,-5.24351,139.51948,3,VSAT,2,No overlapping Issue,52.45,99.9,94.56,294528.89,10-20,POWER,Bad Weather
BTS 4G,MLU00668,RUMOIN,ZZX333,TELKOMSEL,PT. LINDU PUTRA UTAMA,10,MALUKU,KOTA TUAL,KUR SELATAN,RUMOIN,-5.368599,131.964452,3,VSAT,4,No overlapping Issue,35.49,99.16,98.08,112024.56,50-80,POWER,PV Kotor
BTS 4G,PAP7194,WOUTU BRASA,ZZV312,TELKOMSEL,KSO SCI NUSA PAPUA,15,PAPUA SELATAN,ASMAT,KOLF BRAZA,WOUTU BRASA,-5.146501,139.464237,3,VSAT,2,No overlapping Issue,30.3,99.89,98.56,47257.67,5-10,POWER,Battery Low SOC 
BTS 4G,PAB0535,MIRI,ZZQ284,TELKOMSEL,PT. LINDU PUTRA UTAMA,11,PAPUA BARAT DAYA,TAMBRAUW,IRERES,MIRI,-0.968055,132.778888,3,VSAT,2,No overlapping Issue,73.07,99.95,100,19347.7,0-5,POWER,SCC Problem
BTS 4G,PAP1062,KALI MERAH,ZZR397,TELKOMSEL,KSO BKU LANGGENG,13,PAPUA TENGAH,DEIYAI,KAPIRAYA,KALI MERAH,-4.38,136.080277,3,VSAT,2,No overlapping Issue,0,0,0,0,,POWER,Red Zone
BTS 4G,PAP3472,JIBINGGAME,ZZT168,TELKOMSEL,KSO SCI NUSA PAPUA,14,PAPUA TENGAH,PUNCAK JAYA,WAEGI,JIBINGGAME,-3.699278,138.155409,3,VSAT,2,K1 : Tidak Overlap,0,0,0,0,,POWER,Battery Low SOC 
BTS 4G,PAP3384,JIGUNIKIME,ZZT040,TELKOMSEL,KSO SCI NUSA PAPUA,14,PAPUA TENGAH,PUNCAK JAYA,ILAMBURAWI,JIGUNIKIME,-3.685196,137.939203,3,VSAT,2,K1 : Tidak Overlap,0,0,0,0,,POWER,PU offline 
BTS 4G,PAP0764,OBAYO,ZZR315,TELKOMSEL,KSO BKU LANGGENG,13,PAPUA TENGAH,DOGIYAI,KAMU UTARA,OBAYO,-3.985555,136.116944,3,VSAT,2,K2 : Overlap Sebagian,0,0,0,0,,Vandalisme,Vandalisme
BTS 4G,PAB0305,ARAWAY,ZZP696,TELKOMSEL,PT. LINDU PUTRA UTAMA,11,PAPUA BARAT DAYA,RAJA AMPAT,TIPLOL MAYALIBIT,ARAWAY,-0.15,130.626944,3,VSAT,2,No overlapping Issue,0,0,0,0,,POWER,Battery Faulty (GR)
BTS 4G,PAP6162,NEEP,ZZV448,TELKOMSEL,KSO SCI NUSA PAPUA,15,PAPUA PEGUNUNGAN,PEGUNUNGAN BINTANG,BATOM,NEEP,-4.413217,140.886211,3,VSAT,2,No overlapping Issue,0,0,0,0,,POWER,PU offline 
BTS 4G,PAP1001,MAMARIMP,ZZR379,TELKOMSEL,KSO SEI - AGTI,12,PAPUA,KEPULAUAN YAPEN,TELUK AMPIMOI,MAMARIMP,-1.857222,136.447222,3,MW,30,No overlapping Issue,0,0,0,0,,POWER,POWER : Baterai GR-Tapping Box
BTS 4G,PAP0307,GANIATAKA,ZZR237,TELKOMSEL,KSO BKU LANGGENG,13,PAPUA TENGAH,PANIAI,ARADIDE,GANIATAKA,-3.800277,136.476944,3,VSAT,2,No overlapping Issue,0,0,0,0,,POWER,Red Zone
BTS 4G,PAP0355,KENIAPA,ZZR243,TELKOMSEL,KSO BKU LANGGENG,13,PAPUA TENGAH,PANIAI,YATAMO,KENIAPA,-3.975,136.372222,3,VSAT,2,K1 : Tidak Overlap,0,0,0,0,,Vandalisme,Vandalisme
BTS 4G,PAP0996,DUAI,ZZR376,TELKOMSEL,KSO SEI - AGTI,12,PAPUA,KEPULAUAN YAPEN,YAPEN TIMUR,DUAI,-1.81433,136.80542,3,MW,30,K1 : Tidak Overlap,0,0,0,0,,POWER,POWER : Baterai GR-Tapping Box
BTS 4G,PAP6204,LIMIRI,ZZV471,TELKOMSEL,KSO SCI NUSA PAPUA,15,PAPUA PEGUNUNGAN,PEGUNUNGAN BINTANG,BIME,LIMIRI,-4.441518,140.209964,3,VSAT,4,No overlapping Issue,0,0,0,0,,POWER,Battery Low SOC 
BTS 4G,PAP3829,TINOWENO,ZZT597,TELKOMSEL,KSO SCI NUSA PAPUA,14,PAPUA PEGUNUNGAN,TOLIKARA,NUNGGAWI,TINOWENO,-3.691567,138.336145,3,VSAT,4,No overlapping Issue,0,0,0,0,,VSAT,Carrier Down
BTS 4G,PAP0591,IMBIRSBARI,ZZR120,TELKOMSEL,KSO BKU LANGGENG,13,PAPUA,SUPIORI,KEPULAUAN ARURI,IMBIRSBARI,-0.641944,135.363611,3,VSAT,2,No overlapping Issue,0,0,0,0,,BTS,Battery & BTS Module Faulty
BTS 4G,PAB1373,MINOGBEY,ZZQ226,TELKOMSEL,KSO BKU LANGGENG,13,PAPUA BARAT,MANOKWARI,WARMARE,MINOGBEY,-1.118611,133.930555,3,VSAT,2,No overlapping Issue,26.78,93.47,99.81,212491.84,20-30,POWER,Unmonitor (Site Down)
BTS 4G,PAP4130,MARINA VALEN,ZZT174,TELKOMSEL,KSO SCI NUSA PAPUA,14,PAPUA,MAMBERAMO RAYA,MAMBERAMO TENGAH,MARINA VALEN,-2.390244,138.193705,3,VSAT,2,No overlapping Issue,53.43,99.48,98.38,95258.03,#DIV/0!,POWER,Battery Low SOC 
BTS 4G,PAP3803,LEREWERE,ZZT589,TELKOMSEL,KSO SCI NUSA PAPUA,14,PAPUA PEGUNUNGAN,TOLIKARA,GILUBANDU,LEREWERE,-3.647186,138.403106,3,VSAT,2,No overlapping Issue,34.13,99.32,98.99,85217.48,10-20,POWER,Battery Low SOC 
BTS 4G,PAP0006,TOPO,ZZR099,TELKOMSEL,KSO BKU LANGGENG,13,PAPUA TENGAH,NABIRE,UWAPA,TOPO,-3.487777,135.588333,3,VSAT,2,No overlapping Issue,0,0,0,0,,POWER,Unmonitor (Further Checked By TA Power)
BTS 4G,PAP0767,YAMETADI,ZZR318,TELKOMSEL,KSO BKU LANGGENG,13,PAPUA TENGAH,DOGIYAI,KAMU UTARA,YAMETADI,-3.946944,136.143333,3,VSAT,2,No overlapping Issue,0,0,0,0,,Vandalisme,Vandalisme
BTS 4G,PAP3986,TIMER,ZZT641,TELKOMSEL,KSO SCI NUSA PAPUA,14,PAPUA PEGUNUNGAN,TOLIKARA,WAKUWO,TIMER,-3.678539,138.376688,3,VSAT,4,No overlapping Issue,0,0,0,0,,POWER,Battery Low SOC 
BTS 4G,PAP4867,MUARA 2,ZZT198,TELKOMSEL,KSO SCI NUSA PAPUA,14,PAPUA TENGAH,PUNCAK JAYA,MUARA,MUARA 2,-3.702212,137.937102,3,VSAT,4,K1 : Tidak Overlap,0,0,0,0,,POWER,Battery Faulty & PV Panel Broken
